Date,Open,High,Low,Close,Volume,RSI,Signal,Equity
2023-05-22,9.449999809265137,9.845000267028809,9.350000381469728,9.649999618530272,682820,59.79381362212824,0,3494.6641966990064
2023-05-23,9.850000381469728,10.300000190734863,9.550000190734863,9.649999618530272,1637180,59.374997516472746,0,3494.6641966990064
2023-05-24,9.399999618530272,9.550000190734863,9.050000190734863,9.350000381469728,988880,55.882358441030036,0,3386.022058436189
2023-05-25,9.5,9.524999618530272,9.050000190734863,9.199999809265137,698720,47.826088759308966,0,3331.7006439398447
2023-05-26,9.399999618530272,10.0,9.350000381469728,9.850000381469728,1225560,59.375005587935256,0,3567.0927493607996
2023-05-30,10.449999809265137,10.899999618530272,10.199999809265137,10.399999618530272,1421140,64.15094543326691,0,3766.270233085922
2023-05-31,10.050000190734863,10.800000190734863,9.850000381469728,10.800000190734863,888520,65.13762045825717,0,3911.1269930445715
2023-06-01,10.5,11.050000190734863,10.5,10.800000190734863,1093100,75.53192201703345,-1,3911.1269930445715
2023-06-02,11.100000381469728,11.100000381469728,10.550000190734863,10.800000190734863,1041420,73.86364276744175,-1,3911.1269930445715
2023-06-05,10.600000381469728,10.649999618530272,10.199999809265137,10.300000190734863,953240,61.176470852228235,0,3911.1269930445715
2023-06-06,10.100000381469728,10.399999618530272,9.800000190734863,10.399999618530272,1388680,63.52941334866394,0,3911.1269930445715
2023-06-07,10.399999618530272,10.524999618530272,9.800000190734863,9.850000381469728,1317820,46.15385367790832,0,3911.1269930445715
2023-06-08,9.899999618530272,10.050000190734863,9.699999809265137,9.800000190734863,732820,50.70422837905108,0,3911.1269930445715
2023-06-09,10.149999618530272,10.149999618530272,9.449999809265137,9.550000190734863,1088580,50.0,0,3911.1269930445715
2023-06-12,9.449999809265137,10.0,9.449999809265137,10.0,862420,54.430385859154605,0,3911.1269930445715
2023-06-13,10.300000190734863,10.75,10.074999809265137,10.550000190734863,1813160,60.00000847710687,0,3911.1269930445715
2023-06-14,10.5,10.699999809265137,10.25,10.449999809265137,1084820,62.790690453520895,0,3911.1269930445715
2023-06-15,10.100000381469728,10.399999618530272,9.850000381469728,10.350000381469728,1080600,63.529421532445056,0,3911.1269930445715
2023-06-16,10.399999618530272,12.0,10.300000190734863,11.5,4059800,67.36842401140075,0,3911.1269930445715
2023-06-20,12.25,13.850000381469728,12.199999809265137,12.800000190734863,6782840,71.81819080321416,-1,3911.1269930445715
2023-06-21,13.600000381469728,14.5,13.25,13.800000190734863,4898320,74.5901700855118,-1,3911.1269930445715
2023-06-22,13.850000381469728,14.199999809265137,12.975000381469728,13.949999809265137,3252380,75.20000463867332,-1,3911.1269930445715
2023-06-23,13.649999618530272,14.899999618530272,13.100000381469728,14.649999618530272,4006080,77.6978459715344,-1,3911.1269930445715
2023-06-26,14.600000381469728,14.800000190734863,13.149999618530272,13.300000190734863,3398920,69.23077581432202,0,3911.1269930445715
2023-06-27,13.899999618530272,14.949999809265137,13.649999618530272,14.800000190734863,2371400,73.91305204150105,-1,3911.1269930445715
2023-06-28,14.149999618530272,15.699999809265137,14.100000381469728,15.300000190734863,3159180,79.78142406838774,-1,3911.1269930445715
2023-06-29,15.949999809265137,16.649999618530273,15.649999618530272,16.100000381469727,3201960,81.8181870725865,-1,3911.1269930445715
2023-06-30,16.899999618530273,17.0,15.350000381469728,16.5,3355300,84.57711938495684,-1,3911.1269930445715
2023-07-03,16.350000381469727,18.049999237060547,16.25,17.600000381469727,2190940,85.51402427252916,-1,3911.1269930445715
2023-07-05,17.149999618530273,18.600000381469727,17.0,18.299999237060547,3695920,85.71428948126876,-1,3911.1269930445715
2023-07-06,18.399999618530277,18.600000381469727,17.264999389648438,17.899999618530273,3144160,83.40808060885325,-1,3911.1269930445715
2023-07-07,17.75,19.850000381469727,17.700000762939453,19.0,4548780,85.59671295480855,-1,3911.1269930445715
2023-07-10,19.299999237060547,19.75,17.850000381469727,19.700000762939453,3868080,85.04274173078701,-1,3911.1269930445715
2023-07-11,19.600000381469727,19.75,18.399999618530277,18.75,4581740,76.21145422568911,-1,3911.1269930445715
2023-07-12,19.299999237060547,20.149999618530277,18.5,18.75,4248760,73.91304387888023,-1,3911.1269930445715
2023-07-13,19.299999237060547,22.399999618530277,19.0,22.350000381469727,5361460,80.43478426125037,-1,3911.1269930445715
2023-07-14,22.299999237060547,22.75,20.299999237060547,20.799999237060547,4393780,70.98975760400583,-1,3911.1269930445715
2023-07-17,20.875,21.55500030517578,18.850000381469727,19.149999618530277,4518260,69.56521323102717,0,3911.1269930445715
2023-07-18,18.799999237060547,19.5,18.350000381469727,19.0,2411960,65.44117425346067,0,3911.1269930445715
2023-07-19,19.200000762939453,20.0,18.799999237060547,19.100000381469727,2436080,64.39393824453867,0,3911.1269930445715
2023-07-20,19.25,19.600000381469727,18.0,18.049999237060547,2274100,57.24906493847206,0,3911.1269930445715
2023-07-21,18.299999237060547,18.600000381469727,17.149999618530273,18.149999618530277,2210840,56.27376117013415,0,3911.1269930445715
2023-07-24,17.450000762939453,17.600000381469727,16.860000610351562,17.350000381469727,1676140,49.02723752735227,0,3911.1269930445715
2023-07-25,17.299999237060547,18.100000381469727,17.200000762939453,17.25,2093380,45.71429016291088,0,3911.1269930445715
2023-07-26,17.299999237060547,17.899999618530273,17.049999237060547,17.899999618530273,2027540,50.0,0,3911.1269930445715
2023-07-27,18.25,18.299999237060547,16.350000381469727,16.5,2252440,40.23437732830589,0,3911.1269930445715
2023-07-28,16.899999618530273,17.75,16.524999618530273,17.399999618530273,1932880,41.1538430501728,0,3911.1269930445715
2023-07-31,17.549999237060547,18.200000762939453,17.25,17.799999237060547,2079600,46.18473612560985,0,3911.1269930445715
2023-08-01,17.25,17.299999237060547,16.149999618530273,16.950000762939453,2470820,43.233085186783946,0,3911.1269930445715
2023-08-02,16.950000762939453,17.389999389648438,16.149999618530273,16.350000381469727,1711140,20.87378425033603,1,3911.126993044572
2023-08-03,16.049999237060547,16.649999618530273,16.049999237060547,16.25,896460,24.293785188971967,1,3887.205636337799
2023-08-04,16.5,16.5,15.475000381469728,15.550000190734863,1364540,27.215189644205793,1,3719.756823783287
2023-08-07,15.399999618530272,15.449999809265137,14.425000190734863,15.149999618530272,1861460,26.3803646523114,1,3624.071625087162
2023-08-08,15.800000190734863,16.549999237060547,15.100000381469728,16.350000381469727,2125460,35.135135135135144,0,3911.126993044572
2023-08-09,16.649999618530273,16.75,15.25,15.300000190734863,3116960,35.13513875756536,0,3659.953660147321
2023-08-10,15.5,16.21500015258789,15.199999809265137,15.25,1913680,34.23913054745681,0,3647.9929817939346
2023-08-11,15.0,15.5,14.699999809265137,14.850000381469728,1457260,35.79545331395353,0,3552.3080112287753
2023-08-14,14.149999618530272,14.350000381469728,13.300000190734863,13.899999618530272,1609180,32.64248438395305,0,3325.0558069073313
2023-08-15,13.949999809265137,14.350000381469728,13.125,13.175000190734863,1527200,25.706942386594392,1,3151.6267692416086
2023-08-16,12.774999618530272,13.244999885559082,12.449999809265137,12.850000381469728,2414680,28.901735378628587,1,3073.882702141046
2023-08-17,12.5,12.600000381469728,12.0,12.100000381469728,1834220,18.823533899643863,1,2894.4732112331476
2023-08-18,11.350000381469728,12.199999809265137,11.25,12.0,2028960,14.634154284020951,1,2870.551854526375
2023-08-21,12.0,12.199999809265137,11.699999809265137,11.949999809265137,1401220,16.216221092562463,1,2858.5911761729885
2023-08-22,12.100000381469728,12.350000381469728,11.425000190734863,11.600000381469728,1062800,16.783223871996938,1,2774.8668839612155
2023-08-23,11.649999618530272,12.725000381469728,11.5,12.399999618530272,1694660,25.477705768283627,1,2966.2368250915342
2023-08-24,12.550000190734863,12.550000190734863,11.25,11.300000190734863,1294400,24.242424242424235,1,2703.1030419718627
2023-08-25,11.350000381469728,11.600000381469728,10.850000381469728,11.350000381469728,1282660,25.949370755998203,1,2715.063720325249
2023-08-28,11.449999809265137,11.600000381469728,11.25,11.399999618530272,1277560,13.333317321019237,1,2727.0241705476697
2023-08-29,11.350000381469728,13.699999809265137,11.25,13.300000190734863,2666680,36.84210262140024,0,3181.528351059592
2023-08-30,13.199999809265137,13.25,12.699999809265137,13.199999809265137,1642320,36.601303604453214,0,3157.6069943528196
2023-08-31,13.149999618530272,13.300000190734863,12.050000190734863,12.149999618530272,2087540,33.73493366792364,0,2906.433661455568
2023-09-01,12.199999809265137,12.399999618530272,11.5,11.850000381469728,1764620,36.60130816729423,0,2834.6700475971816
2023-09-05,11.699999809265137,11.75,11.350000381469728,11.399999618530272,1399420,37.96609625943666,0,2727.0241705476697
2023-09-06,11.449999809265137,11.75,11.050000190734863,11.399999618530272,1569680,39.716305532934875,0,2727.0241705476697
2023-09-07,11.25,11.600000381469728,10.949999809265137,11.449999809265137,1478420,44.881884797033294,0,2738.9848489010565
2023-09-08,11.399999618530272,11.5,10.949999809265137,11.149999618530272,1274680,43.511446713914545,0,2667.2210069117036
2023-09-11,11.100000381469728,11.210000038146973,10.600000381469728,10.699999809265137,1634900,41.00719276381997,0,2559.575357993158
2023-09-12,11.0,11.75,10.600000381469728,10.699999809265137,2937640,43.18181325581404,0,2559.575357993158
2023-09-13,10.800000190734863,11.050000190734863,10.350000381469728,10.5,1656520,34.16666984558107,0,2511.732872710578
2023-09-14,11.0,11.350000381469728,10.675000190734863,10.800000190734863,1707040,45.19230839768801,0,2583.49671469993
2023-09-15,10.800000190734863,10.850000381469728,10.350000381469728,10.5,1242140,42.20183245431986,0,2511.732872710578
